Revision History,,,,,,,,,,,,
Date,Sheet Name,Version,Description,Designer/Reviser,Reviewed By,Approved By,Approved Date,,,,,
DD-MM-YY,Feature 1,"0,1",Design test cases,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Overal of Test result,,,,,,,,,,,,
Build Number,Passed,Failed,Blocked,Not Run,Not Completed,Not Planned,,,,,,
Environment X,7,6,0,0,0,0,,,,,,
Environment Y,7,6,0,0,0,0,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Name,Test case description,Precondition,Step name,Step description,Expected Result,Defect ID,Environment X,,Environment Y,,Note
,,,,,,,,Step ,Case,Step ,Case,
[Use Case 1/Module1],,,,,,,,,,,,
TC-004-001,ECP-01,Verifies the valid keyword with matches equivalence class.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,Defect 1,Passed,Passed,Passed,Passed,
,,,,Step 2,"Input keyword ""imac"" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,"Show list of products containing the keyword ""imac""",,Passed,,Passed,,
TC-004-002,ECP-02,Verifies the valid keyword with no matches equivalence class.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Passed,Passed,Passed,
,,,,Step 2,"Input keyword ""yzzz"" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,"Not found, return ""There is no product that matches the search criteria.”",,Passed,,Passed,,
TC-004-003,ECP-03,Verify that keywords containing special characters are valid with the appropriate equivalence class.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Passed,Passed,Passed,
,,,,Step 2,"Input keyword ""apple cinema 30"""" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,"Show list of products containing the keyword ""apple cinema 30""""",,Passed,,Passed,,
TC-004-004,ECP-04,Verifies the empty keyword equivalence class.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Failed,Passed,Failed,
,,,,Step 2,"Input keyword """" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,Website did not perform the search.,,Failed,,Failed,,Show list all products
TC-004-005,ECP-05,Verifies the whitespace-only keyword equivalence class.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Failed,Passed,Failed,
,,,,Step 2,"Input keyword ""     "" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,"Trims whitespace, considers the keyword empty and does not perform the search.",,Failed,,Failed,,Show list all products
TC-004-006,ECP-06,Verifies the over-length keyword equivalence class.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Failed,Passed,Failed,
,,,,Step 2,"Input keyword ""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,"Reject keyword and show a length-validation error (or prevent further typing), rather than running the search.",,Failed,,Failed,,"Not found, return ""There is no product that matches the search criteria.”"
TC-004-007,ECP-07,Verify that keywords containing special characters are invalid with the appropriate equivalence class.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Failed,Passed,Failed,
,,,,Step 2,"Input keyword ""@@"" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,"Detect keyword as an invalid and show an appropriate error, not simply treat it as a normal search term.",,Failed,,Failed,,"Not found, return ""There is no product that matches the search criteria.”"
TC-004-008,UC-01,Verifies the main success scenario of the search use case: the user enters a valid keyword that exists in the catalog and submits the search.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,Defect 1,Passed,Passed,Passed,Passed,
,,,,Step 2,"Input keyword ""imac"" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,"Show list of products containing the keyword ""imac""",,Passed,,Passed,,
TC-004-009,UC-02,Verifies the scenario where the user enters a valid keyword that does not match any product.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Passed,Passed,Passed,
,,,,Step 2,"Input keyword ""yzzz"" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,"Not found, return ""There is no product that matches the search criteria.”",,Passed,,Passed,,
TC-004-010,UC-03,Verifies how the use case behaves when the user leaves the keyword empty and clicks Search.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Failed,Passed,Failed,
,,,,Step 2,"Input keyword """" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,Website did not perform the search.,,Failed,,Failed,,Show list all products
TC-004-011,UC-04,Verifies a realistic user scenario where the search use case is executed twice in a row with different keywords.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Passed,Passed,Passed,
,,,,Step 2,"Input keyword ""ipod"" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search or Enter,"Show list of products containing the keyword ""ipod""",,Passed,,Passed,,
,,,,Step 4,"Input keyword ""iphone"" into search bar",,,Passed,,Passed,,
,,,,Step 5,Click Search button or press Enter,"Show list of products containing the keyword ""iphone""",,Passed,,Passed,,
TC-004-012,UC-05,Verifies that the search use case supports special characters keywords.,No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Passed,Passed,Passed,
,,,,Step 2,"Input keyword ""apple cinema 30"""" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,"Show list of products containing the keyword ""apple cinema 30""""",,Passed,,Passed,,
TC-004-013,UC-06,"Verifies the scenario where the user inputs a keyword longer than the allowed maximum length (e.g., > 50 characters).",No precondition,Step 1,Open website https://ecommerce-playground.lambdatest.io/,,,Passed,Failed,Passed,Failed,
,,,,Step 2,"Input keyword ""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"" into search bar",,,Passed,,Passed,,
,,,,Step 3,Click Search button or press Enter,"Reject keyword and show a length-validation error (or prevent further typing), rather than running the search.",,Failed,,Failed,,"Not found, return ""There is no product that matches the search criteria.”"